"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Tom Brady","NE","QB","5848","weighted",4631.82771681416,227.525871585062,33.0360884955752,2.97784834276629,8.73656637168142,0.826159695911277,39.6930088495575,15.0891038425988,0.631252366270534,0.641099509426738,2.83998525073746,0.217217967623573,1.00561946902655,0.00176168590455977,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1977-08-03,NA,NA,NA,NA
"Drew Brees","NO","QB","4925","weighted",4545.96798230088,155.04689633964,28.8112566371681,2.66717047155944,12.3322300884956,1.48953855410586,49.442017699115,52.0128981316352,1.38459147416313,0.699501216554155,2.41344690265487,0.589346411922582,0.724646017699115,0.0863226093234269,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,1979-01-15,NA,NA,NA,NA
"Ben Roethlisberger","PIT","QB","7401","weighted",4443.05738053097,174.3419647558,29.4267433628319,1.17164975914398,14.8072566371681,1.59036631112609,55.8678761061947,27.9135354747518,0.642171291635631,0.407373644429066,2.83674631268437,0.233013982131744,1.50548672566372,0.155028359601256,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1982-03-02,NA,NA,NA,NA
"Aaron Rodgers","GB","QB","7836","weighted",4250.68631858407,233.119813257685,34.9970619469027,2.05595602311414,10.0864424778761,3.05136771410453,330.462761061947,37.2104971230419,2.11968611124928,0.574501114502861,3.33229351032448,0.395331438400161,2.32566371681416,0.211402308547168,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1983-12-02,NA,NA,NA,NA
"Jimmy Garoppolo","SF","QB","11760","weighted",4324.68614159292,199.091059877904,25.006,4.19845314976465,12.2193805309735,1.55916038395884,104.400389380531,67.4523280887041,1.75483781251538,1.10357339199066,2.78960029498525,0.526619281981351,1.09526548672566,0.283631430634117,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,1991-11-02,"IR","Knee - ACL",2018,0
"Matthew Stafford","DET","QB","9431","weighted",4352.16263716814,146.040881348812,27.3378230088496,1.86659856235922,11.6628672566372,1.62147954437455,131.704884955752,15.9199561312371,0.963706853153181,0.176150477006308,3.90647197640118,0.416172255863376,1.07305309734513,0.0229019167592765,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Matthew Stafford","DET","QB","9431","weighted",4352.16263716814,146.040881348812,27.3378230088496,1.86659856235922,11.6628672566372,1.62147954437455,131.704884955752,15.9199561312371,0.963706853153181,0.176150477006308,3.90647197640118,0.416172255863376,1.07305309734513,0.0229019167592765,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2003-05-23,NA,NA,NA,NA
"Philip Rivers","LAC","QB","7394","weighted",4408.21042477876,69.529264933224,29.2706725663717,1.90130077862749,13.2255752212389,1.55940064943734,29.4287079646018,22.3524541318211,0.195805309734513,0.22895780913581,2.96204424778761,0.175625007406905,0.887610619469027,0.0352337180911947,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1981-12-08,"Q","Ankle",2018,0
"Kirk Cousins","MIN","QB","10700","weighted",4079.42486725664,155.013675886951,26.0716637168142,1.52184381177513,13.0802300884956,1.12822259968788,158.527079646018,35.2943467087951,2.51732979623792,1.04431018260497,3.74907817109145,0.108114138351956,0.606637168141593,0.123318013319181,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-08-19,NA,NA,NA,NA
"Matt Ryan","ATL","QB","9099","weighted",4315.56877876106,87.5763696858256,26.8391681415929,1.75816879541117,11.3793097345133,1.68748546294978,118.248053097345,13.8062341645638,0.599373596748783,0.556351111367933,2.82707522123894,0.18222085256814,0.679690265486726,0.100416096559905,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-05-17,"Q","Wrist",2018,0
